alpha,Cl,Cd,Cdp,Cm
14.6,1.2908,0.09109,0.08479,-0.0567
14.65,1.2888,0.09209,0.08581,-0.0568
14.7,1.2868,0.09307,0.08682,-0.0569
14.75,1.2852,0.09401,0.08779,-0.057
14.8,1.2832,0.09498,0.08878,-0.0571
14.85,1.2819,0.09587,0.0897,-0.0572
14.9,1.2793,0.09693,0.09078,-0.0573
14.95,1.2767,0.098,0.09188,-0.0575
15,1.2741,0.09906,0.09296,-0.0576
15.05,1.271,0.10018,0.09412,-0.0578
15.1,1.2691,0.1011,0.09506,-0.0578
15.15,1.267,0.10206,0.09605,-0.058
15.2,1.2641,0.10315,0.09717,-0.0581
15.25,1.2618,0.10412,0.09816,-0.0582
15.3,1.2586,0.10523,0.09929,-0.0584
15.35,1.256,0.10624,0.10034,-0.0586
15.4,1.253,0.1073,0.10142,-0.0587
15.45,1.2504,0.1083,0.10245,-0.0589
15.5,1.2472,0.10936,0.10354,-0.059
15.55,1.2441,0.1104,0.1046,-0.0592
15.6,1.241,0.11145,0.10568,-0.0593
15.65,1.2379,0.11247,0.10672,-0.0595
15.7,1.2344,0.11353,0.10782,-0.0596
15.75,1.2312,0.11456,0.10887,-0.0598
15.8,1.2279,0.1156,0.10994,-0.06
15.85,1.225,0.11658,0.11094,-0.0601
15.9,1.2214,0.1176,0.11199,-0.0603
15.95,1.218,0.11858,0.113,-0.0605
16,1.215,0.11956,0.11401,-0.0606
16.05,1.2116,0.12055,0.11502,-0.0608
16.1,1.2075,0.12158,0.11608,-0.061
16.15,1.2041,0.12255,0.11708,-0.0611
16.2,1.2006,0.12349,0.11804,-0.0613
16.25,1.1971,0.12445,0.11903,-0.0615
16.3,1.1928,0.1255,0.12012,-0.0617
16.35,1.1895,0.12638,0.12102,-0.0618
16.4,1.1865,0.12727,0.12193,-0.062
16.45,1.183,0.12819,0.12288,-0.0622
16.5,1.1794,0.12911,0.12383,-0.0625
16.55,1.1763,0.12999,0.12474,-0.0627
16.6,1.1733,0.13085,0.12561,-0.0629
16.65,1.1702,0.13171,0.1265,-0.0632
16.7,1.1669,0.13259,0.12741,-0.0634
16.75,1.1638,0.13344,0.12828,-0.0637
16.8,1.1605,0.13426,0.12913,-0.064
16.85,1.1566,0.135,0.12989,-0.0641
16.9,1.1528,0.13575,0.13067,-0.0643
16.95,1.1488,0.13648,0.13142,-0.0645
17,1.1453,0.1372,0.13217,-0.0647
17.05,1.1409,0.13793,0.13293,-0.0649
17.1,1.1375,0.13867,0.1337,-0.0651
17.15,1.1337,0.13941,0.13447,-0.0654
17.2,1.1301,0.14017,0.13525,-0.0656
